INDEXID;DATE;SECID;WAPRICE;WEIGHT
MICEXINDEXCF;2001-01-29;SBER;766.668;0.013
MICEXINDEXCF;2001-01-29;SIBN;8.72;0.013
MICEXINDEXCF;2001-01-29;TATN;13.867;0.065
MICEXINDEXCF;2001-01-29;YUKO;63.212;0.034
MICEXINDEXCF;2001-01-30;EESR;2.997;0.181
MICEXINDEXCF;2001-01-30;INUR;63;0.051
MICEXINDEXCF;2001-01-30;IRGZ;2.377;0.022
MICEXINDEXCF;2001-01-30;LKOH;285.574;0.466
MICEXINDEXCF;2001-01-30;MSNG;0.966;0.041
MICEXINDEXCF;2001-01-30;NKEL;248.761;0.076
MICEXINDEXCF;2001-01-30;RTKM;29.32;0.036
MICEXINDEXCF;2001-01-30;SAGO;0.428;0
MICEXINDEXCF;2001-01-30;SBER;755.273;0.013
MICEXINDEXCF;2001-01-30;SIBN;8.895;0.013
MICEXINDEXCF;2001-01-30;TATN;13.959;0.066
MICEXINDEXCF;2001-01-30;YUKO;63.057;0.034
MICEXINDEXCF;2001-01-31;EESR;3.011;0.182
MICEXINDEXCF;2001-01-31;INUR;61.853;0.05
MICEXINDEXCF;2001-01-31;IRGZ;2.202;0.021
MICEXINDEXCF;2001-01-31;LKOH;284.545;0.465
MICEXINDEXCF;2001-01-31;MSNG;0.97;0.041
MICEXINDEXCF;2001-01-31;NKEL;251.486;0.077
MICEXINDEXCF;2001-01-31;RTKM;29.475;0.036
MICEXINDEXCF;2001-01-31;SAGO;0.448;0.001
MICEXINDEXCF;2001-01-31;SBER;756.459;0.013
MICEXINDEXCF;2001-01-31;SIBN;8.895;0.013
MICEXINDEXCF;2001-01-31;TATN;14.046;0.067
MICEXINDEXCF;2001-01-31;YUKO;64.211;0.035
MICEXINDEXCF;2001-02-01;EESR;2.897;0.177
MICEXINDEXCF;2001-02-01;INUR;60.66;0.05
MICEXINDEXCF;2001-02-01;IRGZ;2.202;0.021
MICEXINDEXCF;2001-02-01;LKOH;283.386;0.469
MICEXINDEXCF;2001-02-01;MSNG;0.954;0.041
MICEXINDEXCF;2001-02-01;NKEL;248.315;0.077
MICEXINDEXCF;2001-02-01;RTKM;28.839;0.036
MICEXINDEXCF;2001-02-01;SAGO;0.452;0.001
MICEXINDEXCF;2001-02-01;SBER;736.615;0.013
MICEXINDEXCF;2001-02-01;SIBN;8.895;0.013
MICEXINDEXCF;2001-02-01;TATN;13.966;0.067
MICEXINDEXCF;2001-02-01;YUKO;63.858;0.035
MICEXINDEXCF;2001-02-02;EESR;2.877;0.176
MICEXINDEXCF;2001-02-02;INUR;60;0.05
MICEXINDEXCF;2001-02-02;IRGZ;2.353;0.022
MICEXINDEXCF;2001-02-02;LKOH;283.554;0.47
MICEXINDEXCF;2001-02-02;MSNG;0.966;0.042
MICEXINDEXCF;2001-02-02;NKEL;248.502;0.078
MICEXINDEXCF;2001-02-02;RTKM;28.634;0.035
MICEXINDEXCF;2001-02-02;SAGO;0.452;0.001
MICEXINDEXCF;2001-02-02;SBER;718.275;0.013
MICEXINDEXCF;2001-02-02;SIBN;8.8;0.013
MICEXINDEXCF;2001-02-02;TATN;13.752;0.066
